21:25:07 | hasarli | %33.12
21:25:08 | normal | %28.75
21:25:11 | hasarli | %26.67
21:25:11 | normal | %26.23
21:25:12 | hasarli | %26.80
21:25:12 | normal | %26.92
21:25:12 | hasarli | %27.37
21:25:12 | normal | %27.84
21:25:12 | hasarli | %27.28
21:25:14 | normal | %27.66
21:25:14 | kirli | %32.72
21:25:15 | hasarli | %33.25
21:25:16 | kirli | %34.58
21:25:17 | normal | %33.54
21:25:17 | kirli | %31.80
21:25:18 | pasli | %26.55
21:25:19 | cizik | %24.64
21:25:24 | kirli | %28.32
21:25:26 | cizik | %34.44
21:25:27 | kirli | %26.29
21:25:28 | cizik | %30.64
21:25:28 | hasarli | %27.40
21:25:28 | normal | %31.93
21:25:29 | hasarli | %29.00
21:25:29 | cizik | %27.06
21:25:30 | kirli | %27.55
21:25:31 | cizik | %28.64
21:25:33 | kirli | %23.64
21:25:33 | cizik | %24.54
21:25:33 | pasli | %24.99
21:25:36 | cizik | %29.03
21:25:37 | kirli | %29.66
21:25:37 | normal | %28.87
21:25:38 | cizik | %30.61
21:25:38 | normal | %27.98
21:25:38 | cizik | %29.41
21:25:39 | kirli | %29.40
21:25:39 | normal | %30.94
21:25:39 | kirli | %29.47
21:25:40 | cizik | %30.32
21:25:43 | kirli | %28.43
21:25:43 | cizik | %29.02
21:25:43 | kirli | %28.49
21:25:43 | cizik | %32.42
21:25:45 | kirli | %25.52
21:25:45 | pasli | %28.24
21:25:45 | kirli | %27.53
21:25:45 | normal | %35.36
21:25:45 | kirli | %35.89
21:25:48 | pasli | %30.01
21:25:49 | kirli | %30.16
21:25:52 | normal | %28.30
21:25:52 | hasarli | %27.19
21:25:53 | kirli | %30.57
21:25:55 | normal | %25.09
21:25:55 | kirli | %23.07
21:25:56 | pasli | %26.77
21:25:57 | kirli | %29.03
21:25:59 | normal | %27.06
21:26:02 | cizik | %29.71
21:30:07 | cizik | %50.63
21:30:07 | hasarli | %31.37
21:32:02 | cizik | %41.95
21:32:03 | hasarli | %32.73
21:32:09 | kirli | %33.59
21:32:10 | hasarli | %31.11
21:32:10 | cizik | %36.47
21:32:11 | kirli | %27.48
21:32:11 | normal | %33.90
21:32:13 | pasli | %31.22
21:32:14 | kirli | %29.42
21:32:14 | normal | %34.74
21:32:15 | kirli | %28.44
21:32:16 | pasli | %27.89
21:32:17 | kirli | %28.78
21:32:17 | pasli | %29.63
21:32:17 | kirli | %25.86
21:32:17 | cizik | %31.04
21:32:18 | hasarli | %33.17
21:32:22 | kirli | %37.41
21:32:22 | hasarli | %36.27
21:32:24 | pasli | %45.11
[2026-04-08 21:33:04] [KAMERA] [HASARLI] Confidence: %37.84
[2026-04-08 21:33:09] [KAMERA] [KIRLI] Confidence: %37.33
[2026-04-08 21:33:10] [KAMERA] [HASARLI] Confidence: %38.95
[2026-04-08 21:33:10] [KAMERA] [CIZIK] Confidence: %46.90
[2026-04-08 21:33:14] [KAMERA] [HASARLI] Confidence: %35.74
[2026-04-08 21:33:15] [KAMERA] [KIRLI] Confidence: %37.15
[2026-04-08 21:33:16] [KAMERA] [NORMAL] Confidence: %38.21
[2026-04-08 21:33:19] [KAMERA] [KIRLI] Confidence: %36.11
[2026-04-08 21:33:21] [KAMERA] [HASARLI] Confidence: %37.86
[2026-04-08 21:33:21] [KAMERA] [CIZIK] Confidence: %35.53
[2026-04-08 22:10:48] [KAMERA] [NORMAL] Confidence: %35.08
[2026-04-08 22:10:54] [KAMERA] [HASARLI] Confidence: %37.06
[2026-04-08 22:10:55] [KAMERA] [CIZIK] Confidence: %38.11
[2026-04-08 22:10:56] [KAMERA] [NORMAL] Confidence: %35.78
